Lote 15743617, Stock:, 0.45 a 0 (0.45),costo,8591.000000, valor,3865.95 
Lote 1901516, Stock:, 1.75 a 0 (1.75),costo,8585.000000, valor,15023.75 
Lote 16284215, Stock:, 3.3 a 0 (3.3),costo,8585.000000, valor,28330.5 
Lote 1913316, Stock:, 0.73 a 0 (0.73),costo,8585.000000, valor,6267.05 
Lote 12630015, Stock:, 0.46 a 0 (0.46),costo,4695.000000, valor,2159.7 
Lote 12990416, Stock:, 1.97 a 0 (1.97),costo,4695.000000, valor,9249.15 
Lote 12644115, Stock:, 0.06 a 0 (0.06),costo,4695.000000, valor,281.7 
Lote 3273616, Stock:, 1.26 a 0 (1.26),costo,42437.000000, valor,53470.62 
Lote 11710015, Stock:, 1.35 a 0 (1.35),costo,62286.000000, valor,84086.1 
Lote 3295416, Stock:, 0.1 a 0 (0.1),costo,45321.000000, valor,4532.1 
Lote 19239915, Stock:, 0.65 a 0 (0.65),costo,39387.000000, valor,25601.55 
Lote 14648215, Stock:, 1.6 a 0 (1.6),costo,8587.000000, valor,13739.2 
Lote 14639515, Stock:, 2.82 a 0 (2.82),costo,8587.000000, valor,24215.34 
Lote 13774515, Stock:, 1.5 a 0 (1.5),costo,2024.000000, valor,3036 
Lote 13774715, Stock:, 1.75 a 0 (1.75),costo,2024.000000, valor,3542 
Lote 17130317, Stock:, 2.5 a 0 (2.5),costo,7703.000000, valor,19257.5 
Lote 8289016, Stock:, 20 a 0 (20),costo,7703.000000, valor,154060 
Lote 17620518, Stock:, 1 a 0 (1),costo,7703.000000, valor,7703 
Lote 11661017, Stock:, 6.6 a 0 (6.6),costo,7703.000000, valor,50839.8 
Lote 18392015, Stock:, 1.2 a 0 (1.2),costo,25055.000000, valor,30066 
Lote 16063216, Stock:, 1.12 a 0 (1.12),costo,25055.000000, valor,28061.6 
Lote 2106214, Stock:, 0.06 a 0 (0.06),costo,2943.000000, valor,176.58 
Lote 6585613, Stock:, 3 a 0 (3),costo,2943.000000, valor,8829 
Lote 15607816, Stock:, 4.5 a 0 (4.5),costo,4932.000000, valor,22194 
Lote 7750014, Stock:, 0.55 a 0 (0.55),costo,4757.000000, valor,2616.35 
Lote 16183816, Stock:, 3.94 a 0 (3.94),costo,4757.000000, valor,18742.58 
Lote 9753717, Stock:, 1 a 0 (1),costo,14712.000000, valor,14712 
Lote 4184617, Stock:, 0.9 a 0 (0.9),costo,14712.000000, valor,13240.8 
Lote 3081419, Stock:, 0.5 a 0 (0.5),costo,14712.000000, valor,7356 
Lote 4618916, Stock:, 1 a 0 (1),costo,5106.000000, valor,5106 
Lote 16387715, Stock:, 5.9 a 0 (5.9),costo,8278.000000, valor,48840.2 
Lote 11251014, Stock:, 1.2 a 0 (1.2),costo,8278.000000, valor,9933.6 
Lote 12115216, Stock:, 0.65 a 0 (0.65),costo,8951.000000, valor,5818.15 
Lote 1609616, Stock:, 2.32 a 0 (2.32),costo,8951.000000, valor,20766.32 
Lote 18329115, Stock:, 0.7 a 0 (0.7),costo,8951.000000, valor,6265.7 
Lote 17890115, Stock:, 1.8 a 0 (1.8),costo,8951.000000, valor,16111.8 
Lote 18324415, Stock:, 2.54 a 0 (2.54),costo,8951.000000, valor,22735.54 
Lote 19913718, Stock:, 5.2 a 0 (5.74),costo,6772.000000, valor,35214.4 
Lote 19949918, Stock:, 3.25 a 0 (3.85),costo,6772.000000, valor,22009 
Lote 12275217, Stock:, 0.81 a 0 (0.81),costo,3288.000000, valor,2663.28 
Lote 12389715, Stock:, 0.7 a 0 (0.7),costo,3288.000000, valor,2301.6 
Lote 13396217, Stock:, 1.02 a 0 (1.02),costo,3288.000000, valor,3353.76 
Lote 12100217, Stock:, 1.15 a 0 (1.15),costo,3288.000000, valor,3781.2 
Lote 8265416, Stock:, 3.37 a 0 (3.37),costo,3288.000000, valor,11080.56 
Lote 23371417, Stock:, 6.95 a 0 (6.95),costo,3288.000000, valor,22851.6 
Lote 16587816, Stock:, 1 a 0 (1),costo,2627.000000, valor,2627 
Lote 13670616, Stock:, 1.5 a 0 (1.5),costo,2627.000000, valor,3940.5 
Lote 12459815, Stock:, 2.3 a 0 (2.3),costo,2627.000000, valor,6042.1 
Lote 9998818, Stock:, 0.75 a 0 (0.75),costo,2627.000000, valor,1970.25 
Lote 1111914, Stock:, 0.51 a 0 (0.51),costo,2627.000000, valor,1339.77 
Lote 5032916, Stock:, 0.63 a 0 (0.63),costo,2627.000000, valor,1655.01 
Lote 20755415, Stock:, 0.56 a 0 (0.56),costo,2627.000000, valor,1471.12 
Lote 16758115, Stock:, 20 a 0 (20),costo,5926.000000, valor,118520 
Lote 14117916, Stock:, 0.97 a 0 (0.97),costo,5926.000000, valor,5748.22 
Lote 11800515, Stock:, 1.2 a 0 (1.2),costo,5926.000000, valor,7111.2 
Lote 9214518, Stock:, 1.83 a 0 (1.83),costo,5926.000000, valor,10844.58 
Lote 1586917, Stock:, 1.54 a 0 (1.54),costo,5926.000000, valor,9126.04 
Lote 15263616, Stock:, 3.95 a 0 (3.95),costo,5926.000000, valor,23407.7 
Lote 9944818, Stock:, 20.02 a 0 (20.02),costo,5926.000000, valor,118638.52 
Lote 6350117, Stock:, 4.46 a 0 (4.46),costo,5926.000000, valor,26429.96 
Lote 21142118, Stock:, 2.82 a 0 (2.82),costo,5926.000000, valor,16711.32 
Lote 9019716, Stock:, 13 a 0 (13),costo,5926.000000, valor,77038 
Lote 18642817, Stock:, 2.6 a 0 (2.6),costo,5926.000000, valor,15407.6 
Lote 21316817, Stock:, 0.97 a 0 (0.97),costo,10820.000000, valor,10495.4 
Lote 3533013, Stock:, 1 a 0 (1),costo,11417.000000, valor,11417 
Lote 17452015, Stock:, 7.9 a 0 (7.9),costo,7874.000000, valor,62204.6 
Lote 17308318, Stock:, 2.7 a 0 (2.7),costo,7874.000000, valor,21259.8 
